customer_id,customer_segment,region_name,signup_date
CUST-N10000,enterprise,North,2025-07-15
CUST-N10001,enterprise,North,2025-07-15
CUST-N10002,enterprise,North,2024-07-15
CUST-N10003,enterprise,North,2024-07-15
CUST-N10004,consumer,North,2024-06-15
CUST-N10005,enterprise,North,2025-06-15
CUST-N10006,consumer,North,2024-06-15
CUST-N10007,consumer,North,2024-09-15
CUST-N10008,smb,North,2024-01-15
CUST-N10009,consumer,North,2025-04-15
CUST-N10010,enterprise,North,2024-03-15
CUST-N10011,smb,North,2025-01-15
CUST-N10012,consumer,North,2024-07-15
CUST-N10013,smb,North,2024-07-15
CUST-N10014,smb,North,2025-01-15
CUST-N10015,consumer,North,2025-09-15
CUST-N10016,consumer,North,2024-02-15
CUST-N10017,enterprise,North,2024-07-15
CUST-N10018,enterprise,North,2024-09-15
CUST-N10019,enterprise,North,2024-06-15
CUST-N10020,enterprise,North,2025-09-15
CUST-N10021,smb,North,2024-07-15
CUST-N10022,smb,North,2025-05-15
CUST-N10023,enterprise,North,2025-04-15
CUST-N10024,smb,North,2025-03-15
CUST-N10025,enterprise,North,2025-01-15
CUST-N10026,smb,North,2025-09-15
CUST-N10027,consumer,North,2024-03-15
CUST-N10028,consumer,North,2024-06-15
CUST-N10029,smb,North,2024-02-15
CUST-N10030,consumer,North,2025-01-15
CUST-N10031,smb,North,2024-09-15
CUST-N10032,smb,North,2025-05-15
CUST-N10033,enterprise,North,2025-04-15
CUST-N10034,enterprise,North,2025-03-15
CUST-N10035,consumer,North,2025-02-15
CUST-N10036,enterprise,North,2024-09-15
CUST-N10037,enterprise,North,2024-02-15
CUST-N10038,consumer,North,2024-01-15
CUST-N10039,enterprise,North,2024-05-15
CUST-N10040,smb,North,2025-03-15
CUST-N10041,enterprise,North,2024-08-15
CUST-N10042,consumer,North,2025-05-15
CUST-N10043,enterprise,North,2025-01-15
CUST-N10044,consumer,North,2024-02-15
CUST-N10045,smb,North,2024-04-15
CUST-N10046,smb,North,2025-04-15
CUST-N10047,consumer,North,2024-01-15
CUST-N10048,enterprise,North,2025-05-15
CUST-N10049,enterprise,North,2025-05-15
CUST-N10050,enterprise,North,2024-04-15
CUST-N10051,enterprise,North,2025-06-15
CUST-N10052,smb,North,2024-03-15
CUST-N10053,consumer,North,2024-06-15
CUST-N10054,consumer,North,2024-07-15
CUST-N10055,enterprise,North,2024-05-15
CUST-N10056,smb,North,2024-04-15
CUST-N10057,smb,North,2024-09-15
CUST-N10058,consumer,North,2024-09-15
CUST-N10059,smb,North,2025-06-15
CUST-N10060,consumer,North,2024-03-15
CUST-N10061,enterprise,North,2025-08-15
CUST-N10062,smb,North,2025-04-15
CUST-N10063,smb,North,2025-09-15
CUST-N10064,smb,North,2024-07-15
CUST-N10065,enterprise,North,2025-04-15
CUST-N10066,smb,North,2024-07-15
