order_id,product_id,region_code,date,revenue,discount,refund
ORD-N-20260729-00001,SKU-HOM-03,N,2026-07-29,340,28,0
ORD-N-20260729-00002,SKU-APP-01,N,2026-07-29,490,42,0
ORD-N-20260729-00003,SKU-HOM-03,N,2026-07-29,551,38,0
ORD-N-20260729-00004,SKU-APP-01,N,2026-07-29,304,31,0
ORD-N-20260729-00005,SKU-APP-01,N,2026-07-29,498,50,0
ORD-N-20260729-00006,SKU-HOM-03,N,2026-07-29,371,28,0
ORD-N-20260729-00007,SKU-HOM-03,N,2026-07-29,271,27,0
ORD-N-20260729-00008,SKU-HOM-03,N,2026-07-29,300,27,0
ORD-N-20260729-00009,SKU-HOM-03,N,2026-07-29,566,41,0
ORD-N-20260729-00010,SKU-HOM-03,N,2026-07-29,509,41,0
ORD-N-20260729-00011,SKU-HOM-03,N,2026-07-29,543,34,0
ORD-N-20260729-00012,SKU-ELE-02,N,2026-07-29,510,35,0
ORD-N-20260729-00013,SKU-ELE-02,N,2026-07-29,489,49,0
ORD-N-20260729-00014,SKU-HOM-03,N,2026-07-29,522,37,0
ORD-N-20260729-00015,SKU-HOM-03,N,2026-07-29,538,35,0
ORD-N-20260729-00016,SKU-ELE-02,N,2026-07-29,325,34,0
ORD-N-20260729-00017,SKU-APP-01,N,2026-07-29,457,30,0
ORD-N-20260729-00018,SKU-HOM-03,N,2026-07-29,383,35,0
ORD-N-20260729-00019,SKU-ELE-02,N,2026-07-29,398,41,0
ORD-N-20260729-00020,SKU-APP-01,N,2026-07-29,389,36,0
ORD-N-20260729-00021,SKU-HOM-03,N,2026-07-29,405,35,0
ORD-N-20260729-00022,SKU-APP-01,N,2026-07-29,572,53,0
ORD-N-20260729-00023,SKU-APP-01,N,2026-07-29,289,18,0
ORD-N-20260729-00024,SKU-APP-01,N,2026-07-29,322,29,0
ORD-N-20260729-00025,SKU-APP-01,N,2026-07-29,311,28,0
ORD-N-20260729-00026,SKU-APP-01,N,2026-07-29,501,37,0
ORD-N-20260729-00027,SKU-ELE-02,N,2026-07-29,465,34,0
ORD-N-20260729-00028,SKU-HOM-03,N,2026-07-29,463,27,0
ORD-N-20260729-00029,SKU-APP-01,N,2026-07-29,324,19,0
ORD-N-20260729-00030,SKU-ELE-02,N,2026-07-29,519,37,0
ORD-N-20260729-00031,SKU-HOM-03,N,2026-07-29,467,44,0
ORD-N-20260729-00032,SKU-HOM-03,N,2026-07-29,411,32,0
ORD-N-20260729-00033,SKU-ELE-02,N,2026-07-29,516,54,0
ORD-N-20260729-00034,SKU-HOM-03,N,2026-07-29,330,30,0
ORD-N-20260729-00035,SKU-HOM-03,N,2026-07-29,509,41,0
ORD-N-20260729-00036,SKU-ELE-02,N,2026-07-29,514,40,0
ORD-N-20260729-00037,SKU-APP-01,N,2026-07-29,566,36,0
ORD-N-20260729-00038,SKU-APP-01,N,2026-07-29,278,25,0
ORD-N-20260729-00039,SKU-HOM-03,N,2026-07-29,499,43,0
ORD-N-20260729-00040,SKU-ELE-02,N,2026-07-29,249,15,0
ORD-N-20260729-00041,SKU-ELE-02,N,2026-07-29,517,32,0
ORD-N-20260729-00042,SKU-HOM-03,N,2026-07-29,402,43,0
ORD-N-20260729-00043,SKU-APP-01,N,2026-07-29,447,26,0
ORD-N-20260729-00044,SKU-ELE-02,N,2026-07-29,560,41,0
ORD-N-20260729-00045,SKU-APP-01,N,2026-07-29,531,50,0
ORD-N-20260729-00046,SKU-ELE-02,N,2026-07-29,276,16,0
ORD-N-20260729-00047,SKU-APP-01,N,2026-07-29,416,30,0
ORD-N-20260729-00048,SKU-APP-01,N,2026-07-29,327,20,0
ORD-N-20260729-00049,SKU-ELE-02,N,2026-07-29,269,16,0
ORD-N-20260729-00050,SKU-HOM-03,N,2026-07-29,478,29,0
ORD-N-20260729-00051,SKU-APP-01,N,2026-07-29,539,34,0
ORD-N-20260729-00052,SKU-APP-01,N,2026-07-29,490,49,0
ORD-N-20260729-00053,SKU-ELE-02,N,2026-07-29,367,38,0
ORD-N-20260729-00054,SKU-HOM-03,N,2026-07-29,431,27,0
ORD-N-20260729-00055,SKU-ELE-02,N,2026-07-29,398,41,0
ORD-N-20260729-00056,SKU-APP-01,N,2026-07-29,265,25,0
ORD-N-20260729-00057,SKU-HOM-03,N,2026-07-29,321,30,0
ORD-N-20260729-00058,SKU-APP-01,N,2026-07-29,471,39,0
ORD-N-20260729-00059,SKU-APP-01,N,2026-07-29,492,31,0
ORD-N-20260729-00060,SKU-HOM-03,N,2026-07-29,436,29,0
ORD-N-20260729-00061,SKU-HOM-03,N,2026-07-29,421,44,0
ORD-N-20260729-00062,SKU-HOM-03,N,2026-07-29,467,47,0
ORD-N-20260729-00063,SKU-ELE-02,N,2026-07-29,253,20,0
ORD-N-20260729-00064,SKU-HOM-03,N,2026-07-29,288,24,0
ORD-N-20260729-00065,SKU-HOM-03,N,2026-07-29,432,39,0
ORD-N-20260729-00066,SKU-ELE-02,N,2026-07-29,576,38,0
ORD-N-20260729-00067,SKU-ELE-02,N,2026-07-29,356,21,0
ORD-N-20260729-00068,SKU-HOM-03,N,2026-07-29,289,25,0
ORD-N-20260729-00069,SKU-HOM-03,N,2026-07-29,452,48,0
ORD-N-20260729-00070,SKU-APP-01,N,2026-07-29,300,31,0
ORD-N-20260729-00071,SKU-APP-01,N,2026-07-29,359,37,0
ORD-N-20260729-00072,SKU-HOM-03,N,2026-07-29,346,34,0
ORD-N-20260729-00073,SKU-APP-01,N,2026-07-29,305,22,0
ORD-N-20260729-00074,SKU-ELE-02,N,2026-07-29,257,22,0
ORD-N-20260729-00075,SKU-ELE-02,N,2026-07-29,438,26,0
ORD-N-20260729-00076,SKU-APP-01,N,2026-07-29,489,35,0
ORD-N-20260729-00077,SKU-ELE-02,N,2026-07-29,269,26,0
ORD-N-20260729-00078,SKU-HOM-03,N,2026-07-29,284,24,0
ORD-N-20260729-00079,SKU-HOM-03,N,2026-07-29,293,29,0
ORD-N-20260729-00080,SKU-APP-01,N,2026-07-29,532,51,0
ORD-N-20260729-00081,SKU-HOM-03,N,2026-07-29,410,29,0
ORD-N-20260729-00082,SKU-APP-01,N,2026-07-29,262,21,0
ORD-N-20260729-00083,SKU-APP-01,N,2026-07-29,565,41,0
ORD-N-20260729-00084,SKU-HOM-03,N,2026-07-29,449,44,0
ORD-N-20260729-00085,SKU-APP-01,N,2026-07-29,464,47,0
ORD-N-20260729-00086,SKU-ELE-02,N,2026-07-29,315,26,0
ORD-N-20260729-00087,SKU-HOM-03,N,2026-07-29,379,38,0
ORD-N-20260729-00088,SKU-HOM-03,N,2026-07-29,509,30,0
ORD-N-20260729-00089,SKU-ELE-02,N,2026-07-29,504,45,0
ORD-N-20260729-00090,SKU-ELE-02,N,2026-07-29,494,35,0
ORD-N-20260729-00091,SKU-ELE-02,N,2026-07-29,288,19,0
ORD-N-20260729-00092,SKU-APP-01,N,2026-07-29,572,45,0
ORD-N-20260729-00093,SKU-ELE-02,N,2026-07-29,275,29,0
ORD-N-20260729-00094,SKU-APP-01,N,2026-07-29,502,38,0
ORD-N-20260729-00095,SKU-APP-01,N,2026-07-29,392,34,0
ORD-N-20260729-00096,SKU-HOM-03,N,2026-07-29,501,33,0
ORD-N-20260729-00097,SKU-ELE-02,N,2026-07-29,512,43,0
ORD-N-20260729-00098,SKU-HOM-03,N,2026-07-29,435,37,0
ORD-N-20260729-00099,SKU-APP-01,N,2026-07-29,500,35,0
ORD-N-20260729-00100,SKU-APP-01,N,2026-07-29,543,36,0
ORD-N-20260729-00101,SKU-HOM-03,N,2026-07-29,346,21,0
ORD-N-20260729-00102,SKU-HOM-03,N,2026-07-29,313,19,0
ORD-N-20260729-00103,SKU-ELE-02,N,2026-07-29,304,22,0
ORD-N-20260729-00104,SKU-HOM-03,N,2026-07-29,271,22,0
ORD-N-20260729-00105,SKU-ELE-02,N,2026-07-29,567,37,0
ORD-N-20260729-00106,SKU-HOM-03,N,2026-07-29,523,36,0
ORD-N-20260729-00107,SKU-ELE-02,N,2026-07-29,417,44,0
ORD-N-20260729-00108,SKU-ELE-02,N,2026-07-29,408,24,0
ORD-N-20260729-00109,SKU-ELE-02,N,2026-07-29,576,35,0
ORD-N-20260729-00110,SKU-APP-01,N,2026-07-29,569,45,0
ORD-N-20260729-00111,SKU-HOM-03,N,2026-07-29,267,20,0
ORD-N-20260729-00112,SKU-HOM-03,N,2026-07-29,274,29,0
ORD-N-20260729-00113,SKU-ELE-02,N,2026-07-29,383,27,0
ORD-N-20260729-00114,SKU-APP-01,N,2026-07-29,563,57,0
ORD-N-20260729-00115,SKU-HOM-03,N,2026-07-29,314,26,0
ORD-N-20260729-00116,SKU-HOM-03,N,2026-07-29,292,19,0
ORD-N-20260729-00117,SKU-HOM-03,N,2026-07-29,339,33,0
ORD-N-20260729-00118,SKU-ELE-02,N,2026-07-29,322,20,0
ORD-N-20260729-00119,SKU-APP-01,N,2026-07-29,303,31,0
ORD-N-20260729-00120,SKU-HOM-03,N,2026-07-29,336,27,0
ORD-N-20260729-00121,SKU-ELE-02,N,2026-07-29,322,23,0
ORD-N-20260729-00122,SKU-HOM-03,N,2026-07-29,456,28,0
ORD-N-20260729-00123,SKU-ELE-02,N,2026-07-29,538,40,0
ORD-N-20260729-00124,SKU-APP-01,N,2026-07-29,290,19,0
ORD-N-20260729-00125,SKU-ELE-02,N,2026-07-29,424,44,0
ORD-N-20260729-00126,SKU-APP-01,N,2026-07-29,357,35,0
ORD-N-20260729-00127,SKU-ELE-02,N,2026-07-29,445,43,0
ORD-N-20260729-00128,SKU-HOM-03,N,2026-07-29,441,39,0
ORD-N-20260729-00129,SKU-APP-01,N,2026-07-29,479,41,0
ORD-N-20260729-00130,SKU-ELE-02,N,2026-07-29,510,44,0
ORD-N-20260729-00131,SKU-HOM-03,N,2026-07-29,471,33,0
ORD-N-20260729-00132,SKU-APP-01,N,2026-07-29,337,20,0
ORD-N-20260729-00133,SKU-HOM-03,N,2026-07-29,342,34,0
ORD-N-20260729-00134,SKU-ELE-02,N,2026-07-29,452,31,0
ORD-N-20260729-00135,SKU-APP-01,N,2026-07-29,396,34,0
ORD-N-20260729-00136,SKU-ELE-02,N,2026-07-29,403,37,0
ORD-N-20260729-00137,SKU-APP-01,N,2026-07-29,446,34,0
ORD-N-20260729-00138,SKU-HOM-03,N,2026-07-29,339,23,0
ORD-N-20260729-00139,SKU-APP-01,N,2026-07-29,312,23,0
ORD-N-20260729-00140,SKU-APP-01,N,2026-07-29,378,22,0
ORD-N-20260729-00141,SKU-HOM-03,N,2026-07-29,498,47,0
ORD-N-20260729-00142,SKU-ELE-02,N,2026-07-29,300,26,0
ORD-N-20260729-00143,SKU-ELE-02,N,2026-07-29,317,22,300
ORD-N-20260729-00144,SKU-ELE-02,N,2026-07-29,449,38,0
ORD-N-20260729-00145,SKU-ELE-02,N,2026-07-29,252,18,0
ORD-N-20260729-00146,SKU-HOM-03,N,2026-07-29,487,49,0
ORD-N-20260729-00147,SKU-HOM-03,N,2026-07-29,291,27,0
ORD-N-20260729-00148,SKU-APP-01,N,2026-07-29,385,35,0
ORD-N-20260729-00149,SKU-HOM-03,N,2026-07-29,311,25,0
ORD-N-20260729-00150,SKU-APP-01,N,2026-07-29,486,46,0
ORD-N-20260729-00151,SKU-HOM-03,N,2026-07-29,544,37,0
ORD-N-20260729-00152,SKU-HOM-03,N,2026-07-29,364,33,0
ORD-N-20260729-00153,SKU-APP-01,N,2026-07-29,291,26,0
ORD-N-20260729-00154,SKU-ELE-02,N,2026-07-29,301,20,0
ORD-N-20260729-00155,SKU-ELE-02,N,2026-07-29,336,32,0
ORD-N-20260729-00156,SKU-ELE-02,N,2026-07-29,460,42,0
ORD-N-20260729-00157,SKU-APP-01,N,2026-07-29,353,32,0
ORD-N-20260729-00158,SKU-HOM-03,N,2026-07-29,401,42,0
ORD-N-20260729-00159,SKU-HOM-03,N,2026-07-29,555,54,0
ORD-N-20260729-00160,SKU-APP-01,N,2026-07-29,306,23,0
ORD-N-20260729-00161,SKU-APP-01,N,2026-07-29,283,23,0
ORD-N-20260729-00162,SKU-ELE-02,N,2026-07-29,550,58,0
ORD-N-20260729-00163,SKU-HOM-03,N,2026-07-29,315,25,0
ORD-N-20260729-00164,SKU-APP-01,N,2026-07-29,351,33,0
ORD-N-20260729-00165,SKU-APP-01,N,2026-07-29,250,23,0
ORD-N-20260729-00166,SKU-HOM-03,N,2026-07-29,378,40,0
ORD-N-20260729-00167,SKU-HOM-03,N,2026-07-29,289,21,0
ORD-N-20260729-00168,SKU-APP-01,N,2026-07-29,382,32,0
ORD-N-20260729-00169,SKU-HOM-03,N,2026-07-29,479,36,0
ORD-N-20260729-00170,SKU-APP-01,N,2026-07-29,309,19,0
ORD-N-20260729-00171,SKU-ELE-02,N,2026-07-29,490,30,0
ORD-N-20260729-00172,SKU-ELE-02,N,2026-07-29,551,44,0
ORD-N-20260729-00173,SKU-ELE-02,N,2026-07-29,337,33,327
ORD-N-20260729-00174,SKU-HOM-03,N,2026-07-29,561,39,0
ORD-N-20260729-00175,SKU-HOM-03,N,2026-07-29,292,29,0
ORD-N-20260729-00176,SKU-HOM-03,N,2026-07-29,292,22,0
ORD-N-20260729-00177,SKU-ELE-02,N,2026-07-29,371,34,0
ORD-N-20260729-00178,SKU-APP-01,N,2026-07-29,301,26,0
ORD-N-20260729-00179,SKU-APP-01,N,2026-07-29,300,22,0
ORD-N-20260729-00180,SKU-ELE-02,N,2026-07-29,414,25,0
ORD-N-20260729-00181,SKU-APP-01,N,2026-07-29,534,51,0
ORD-N-20260729-00182,SKU-APP-01,N,2026-07-29,334,33,0
ORD-N-20260729-00183,SKU-APP-01,N,2026-07-29,396,30,0
ORD-N-20260729-00184,SKU-APP-01,N,2026-07-29,555,38,0
ORD-N-20260729-00185,SKU-ELE-02,N,2026-07-29,325,23,0
ORD-N-20260729-00186,SKU-HOM-03,N,2026-07-29,422,34,0
ORD-N-20260729-00187,SKU-ELE-02,N,2026-07-29,298,23,0
ORD-N-20260729-00188,SKU-APP-01,N,2026-07-29,316,31,0
ORD-N-20260729-00189,SKU-ELE-02,N,2026-07-29,431,33,0
ORD-N-20260729-00190,SKU-HOM-03,N,2026-07-29,265,25,0
ORD-N-20260729-00191,SKU-APP-01,N,2026-07-29,296,26,0
ORD-N-20260729-00192,SKU-APP-01,N,2026-07-29,328,19,0
ORD-N-20260729-00193,SKU-HOM-03,N,2026-07-29,472,39,0
ORD-N-20260729-00194,SKU-HOM-03,N,2026-07-29,430,43,0
ORD-N-20260729-00195,SKU-ELE-02,N,2026-07-29,454,41,0
ORD-N-20260729-00196,SKU-APP-01,N,2026-07-29,430,46,0
ORD-N-20260729-00197,SKU-ELE-02,N,2026-07-29,320,31,0
ORD-N-20260729-00198,SKU-ELE-02,N,2026-07-29,333,35,0
ORD-N-20260729-00199,SKU-ELE-02,N,2026-07-29,361,39,0
ORD-N-20260729-00200,SKU-HOM-03,N,2026-07-29,265,28,0
ORD-N-20260729-00201,SKU-HOM-03,N,2026-07-29,515,50,0
ORD-N-20260729-00202,SKU-APP-01,N,2026-07-29,402,41,0
ORD-N-20260729-00203,SKU-ELE-02,N,2026-07-29,337,23,0
ORD-N-20260729-00204,SKU-ELE-02,N,2026-07-29,394,27,0
ORD-N-20260729-00205,SKU-APP-01,N,2026-07-29,359,34,0
ORD-N-20260729-00206,SKU-ELE-02,N,2026-07-29,574,44,0
ORD-N-20260729-00207,SKU-ELE-02,N,2026-07-29,304,32,0
ORD-N-20260729-00208,SKU-ELE-02,N,2026-07-29,365,35,0
ORD-N-20260729-00209,SKU-APP-01,N,2026-07-29,571,40,0
ORD-N-20260729-00210,SKU-ELE-02,N,2026-07-29,533,51,0
ORD-N-20260729-00211,SKU-ELE-02,N,2026-07-29,340,26,0
